date,beta
2020-01-31,0.9773806589082634
2020-02-28,0.9346579534237429
2020-03-31,0.8500477925530937
2020-04-30,0.7440163944915065
2020-05-29,0.7186585928349046
2020-06-30,0.6902264731463954
2020-07-31,0.6072113852716267
2020-08-31,0.5450922330792083
2020-09-30,0.5568570716812391
2020-10-30,0.6064594300105238
2020-11-27,0.6079638438835752
2020-12-31,0.6219063106761329
2021-01-29,0.6477737836254791
2021-02-26,0.6599239401919771
2021-03-31,0.653400337108959
2021-04-30,0.6550464549986273
2021-05-31,0.6600321394933375
2021-06-30,0.6634751120501192
2021-07-30,0.6522532553585454
2021-08-31,0.6476396962603431
2021-09-30,0.6594650518972114
2021-10-29,0.659388336312799
2021-11-30,0.6633489922147617
2021-12-31,0.6661080794931697
