step,spread
0,1.0859642227963138
1,1.33096960815877
2,1.29102560698544
3,1.046152994527486
4,0.856287772455118
5,-0.06609422832032719
6,0.015744294445257413
7,-0.15337357153103048
8,-0.018065151360572337
9,0.11891888691601667
10,0.562937546165573
11,0.3766779751007536
12,0.45726536245629285
13,0.9726626486486945
14,0.6752931669178894
15,0.6249825306876147
16,0.5866171535031542
17,0.07587693425263042
18,0.20035091449276432
19,-0.22336857638759625
20,0.2829432373862124
21,-0.19720344951518654
22,-0.08699554990053318
23,-0.11017224170086615
24,0.0318117667739629
25,0.19419966270533556
26,-0.13268420246667156
27,0.026251277501260592
28,-0.18682262521746942
29,0.062003954394749455
30,-0.35633461418671797
31,-0.5807102874635197
32,-0.5420663156163643
33,-0.2354891102711793
34,-0.3196085893580807
35,-0.33432990694514614
36,0.17407996522866376
37,0.40237003139003447
38,0.3560570617754126
39,0.12472420649997534
40,-0.10266549906034854
41,-0.24867278027400996
42,-0.5052044547786742
43,-0.33893027589817065
44,-0.11327537166546012
45,0.16124762764428469
46,-0.18857241906970815
47,-0.19964095032243764
48,-0.36776811843561075
49,0.3445863790770357
50,0.6819647699034457
51,0.06575104763473583
52,0.4497630897366301
53,0.7055658935525004
54,0.7182980645636793
55,0.9850301269271218
56,1.24215355740665
57,1.1194847445822194
58,1.2209078585560431
59,0.9570799755604474
60,0.8288713557097502
61,0.7712048289453683
62,0.8992928878890057
63,0.7896087903034968
64,0.7136725611674486
65,0.7706333524478836
66,0.21129596521740385
67,0.29323310003903746
68,0.561133831162951
69,0.8304359594143971
70,0.9605889563286387
71,0.6428538724304241
72,0.7815623684657225
73,1.0046467833089392
74,1.0776951719969685
75,0.8072337134990225
76,0.8686535432050295
77,0.5946005247261426
78,0.2277708821621937
79,0.4670951826489965
80,0.6068755891524042
81,1.0317336233601309
82,1.3825427910551888
83,1.0720203057217628
84,0.8579001740947167
85,1.2571980359990953
86,0.8181657848283661
87,0.8594366923950807
88,0.6285819800280583
89,0.3585734262978122
90,0.3497924258008855
91,0.6642416619793365
92,0.6167918157496951
93,0.5226523749179215
94,0.213246824167801
95,0.05889227002909758
96,0.04948300922116148
97,0.0030417214001674867
98,0.5585928066794913
99,0.3795707734950698
100,0.6884707715136661
101,0.29216990765605905
102,0.16250583299666943
103,-0.3808610888295941
104,-0.24241243371313975
105,-0.591415067270112
106,-0.20031086190982944
107,-0.4291984559152985
108,-0.17754744670599565
109,0.10621064669091246
110,-0.13803966825234198
111,-0.4988694090037022
112,-0.6444054263503329
113,-0.7026578034998706
114,-0.6239038962203919
115,-0.18760235243131446
116,-0.07039867790161272
117,-0.306624920031332
118,-0.7512459474231126
119,-0.738455403799558
120,-1.0382077538459915
121,-0.9570900404575131
122,-1.0708663567265213
123,-1.2506662009142202
124,-1.007557378519022
125,-0.7348539257881301
126,-0.8919646541330359
127,-1.1659184194414611
128,-0.7501479242756227
129,-0.674059737179698
130,-0.3009984365525821
131,-0.49962653968432136
132,-0.5660650862740871
133,-0.3275699612099032
134,0.3504054030636851
135,0.42245987526061035
136,0.5480099975778392
137,0.13538831731541384
138,0.1866142907028816
139,0.13529391520987688
140,-0.21903115546682872
141,0.0881648945556032
142,0.16235205856732393
143,0.35670284353763654
144,0.00995784678826489
145,0.13906736470794853
146,-0.053291275540267274
147,0.36320759943250447
